movieid,movie_title,movie_year,movie_release_date,movie_genre,movie_rating,movie_href,movie_desc,movie_cast,movie_tag,budget,revenue,page_count,download_flag
1022789-inside-out-2,Inside Out 2,2024,2024-06-13,Animation|Family|Fantasy|Adventure|Comedy|,76,/movie/1022789-inside-out-2,"Teenager Riley\'s mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",Amy Poehler|Maya Hawke|Kensington Tallman|Liza Lapira|Tony Hale|Lewis Black|Phyllis Smith|Ayo Edebiri|Lilimar|,sadness|disgust|sequel|computer animation|teenage girl|fear|anger|envy|aftercreditsstinger|duringcreditsstinger|emotions|embarrasment|joy|anxiety|sentimental|admiring|adoring|,200000000.00,1682636477.00,1,1
12445-harry-potter-and-the-deathly-hallows-part-2,Harry Potter and the Deathly Hallows: Part 2,2011,2011-07-12,Fantasy|Adventure|,81,/movie/12445-harry-potter-and-the-deathly-hallows-part-2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort\'s formidable skills.",Daniel Radcliffe|Emma Watson|Rupert Grint|Ralph Fiennes|Alan Rickman|Michael Gambon|Warwick Davis|Helena Bonham Carter|Ciarán Hinds|,saving the world|witch|self sacrifice|magic|dying and death|school of witchcraft|sorcerer|school|battle|ghost|wizard|teenage hero|mysterious|christmas|based on young adult novel|good versus evil|wizarding world|,125000000.00,1341511219.00,1,1
135397-jurassic-world,Jurassic World,2015,2015-06-10,Action|Adventure|Science Fiction|Thriller|,67,/movie/135397-jurassic-world,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Ty Simpkins|Nick Robinson|Jake Johnson|Omar Sy|BD Wong|,dna|tyrannosaurus rex|velociraptor|island|animal attack|primal fear|sequel|escape|dinosaur|creature|park|amusement park|theme park|genetic engineering|raptor|animal horror|mosasaurus|,150000000.00,1671537444.00,1,1
140607-star-wars-the-force-awakens,Star Wars: The Force Awakens,2015,2015-12-17,Adventure|Action|Science Fiction|,73,/movie/140607-star-wars-the-force-awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley|John Boyega|Oscar Isaac|Lupita Nyong'o|Andy Serkis|,android|spacecraft|space opera|,245000000.00,2068223624.00,1,1
168259-furious-7,Furious 7,2015,2015-04-01,Action|Thriller|Crime|,72,/movie/168259-furious-7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Jordana Brewster|Tyrese Gibson|Ludacris|Dwayne Johnson|Kurt Russell|,car race|speed|street race|revenge|race|muscle car|admiring|,190000000.00,1515400000.00,1,1
19995-avatar,Avatar,2009,2010-08-26,Action|Adventure|Fantasy|Science Fiction|,76,/movie/19995-avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Wes Studi|,paraplegic|culture clash|attachment to nature|indigenous|space colony|space travel|tribe|alien planet|distant future|marine|battle|love affair|scientist|nature|native peoples|power relations|meditative|tribal customs|tribal people|tribal chief|deity|spiritual community|22nd century|save the planet|racial discrimination|soldiers|hopeful|,237000000.00,2923706026.00,1,0
24428-the-avengers,The Avengers,2012,2012-05-01,Science Fiction|Action|Adventure|,77,/movie/24428-the-avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson|Jeremy Renner|Tom Hiddleston|Clark Gregg|Cobie Smulders|,new york city|shield|superhero|based on comic|alien invasion|superhero team|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe (mcu)|,220000000.00,1518815515.00,1,1
284054-black-panther,Black Panther,2018,2018-02-15,Action|Adventure|Science Fiction|,74,/movie/284054-black-panther,"King T\'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country\'s new leader. However, T\'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T\'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan \'special forces\') and an American secret agent, to prevent Wakanda from being dragged into a world war.",Chadwick Boseman|Michael B. Jordan|Lupita Nyong'o|Danai Gurira|Martin Freeman|Daniel Kaluuya|Letitia Wright|Winston Duke|Sterling K. Brown|,africa|superhero|based on comic|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe (mcu)|,200000000.00,1349926083.00,1,1
299534-avengers-endgame,Avengers: Endgame,2019,2019-04-24,Adventure|Science Fiction|Action|,82,/movie/299534-avengers-endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos\' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson|Jeremy Renner|Josh Brolin|Don Cheadle|Paul Rudd|,space travel|time travel|time machine|sequel|superhero|based on comic|alien invasion|superhero team|marvel cinematic universe (mcu)|alternate timeline|father daughter relationship|sister sister relationship|grand|awestruck|baffled|powerful|vibrant|,356000000.00,2799439100.00,1,0
299536-avengers-infinity-war,Avengers: Infinity War,2018,2018-04-26,Adventure|Action|Science Fiction|,82,/movie/299536-avengers-infinity-war,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",Robert Downey Jr.|Chris Evans|Chris Hemsworth|Josh Brolin|Mark Ruffalo|Scarlett Johansson|Don Cheadle|Benedict Cumberbatch|Tom Holland|,magic|sacrifice|superhero|based on comic|space|battlefield|genocide|magical object|super power|aftercreditsstinger|marvel cinematic universe (mcu)|cosmic|,300000000.00,2052415039.00,1,1
