model,task_no,vectorizer,ngram,max_iter,C,gamma,tree_param,n_estimator,lrate,batch_size,num_epoch,weight_decay,test_accuracy,wall_time,run_time
LogisticRegression,1,cbow,1,100000,,,,0,0.0,0,0,0.0,0.7440305635148042,1.4070138931274414,2024-11-21 15:03:54
LogisticRegression,2,tfidf,1,100000,,,,0,0.0,0,0,0.0,0.7554918815663801,0.1007509231567382,2024-11-21 15:03:55
LogisticRegression,3,cbow,2,100000,,,,0,0.0,0,0,0.0,0.7554918815663801,5.17532205581665,2024-11-21 15:04:04
LogisticRegression,4,tfidf,2,100000,,,,0,0.0,0,0,0.0,0.7745940783190067,0.9120795726776124,2024-11-21 15:04:10
LogisticRegression,5,cbow,3,100000,,,,0,0.0,0,0,0.0,0.7640878701050621,10.898582696914673,2024-11-21 15:04:28
LogisticRegression,6,tfidf,3,100000,,,,0,0.0,0,0,0.0,0.7688634192932188,3.016331672668457,2024-11-21 15:04:40
LinearSVM,1,cbow,1,100000,,,,0,0.0,0,0,0.0,0.7144221585482331,4.453680515289307,2024-11-21 15:07:43
LinearSVM,2,tfidf,1,100000,,,,0,0.0,0,0,0.0,0.7344794651384909,0.1773357391357422,2024-11-21 15:07:44
LinearSVM,3,cbow,2,100000,,,,0,0.0,0,0,0.0,0.731614135625597,20.14427065849304,2024-11-21 15:08:08
LinearSVM,4,tfidf,2,100000,,,,0,0.0,0,0,0.0,0.7736389684813754,0.3331785202026367,2024-11-21 15:08:13
LinearSVM,5,cbow,3,100000,,,,0,0.0,0,0,0.0,0.7277936962750716,42.25157523155213,2024-11-21 15:09:03
LinearSVM,6,tfidf,3,100000,,,,0,0.0,0,0,0.0,0.778414517669532,0.6435573101043701,2024-11-21 15:09:11
RbfSVM,1,cbow,1,100000,0.01,scale,,0,0.0,0,0,0.0,0.3705826170009551,56.11575245857239,2024-11-21 15:13:32
RbfSVM,2,cbow,1,100000,0.01,auto,,0,0.0,0,0,0.0,0.3705826170009551,55.19512891769409,2024-11-21 15:14:42
RbfSVM,3,cbow,1,100000,1.0,scale,,0,0.0,0,0,0.0,0.7459407831900668,45.1310875415802,2024-11-21 15:15:39
RbfSVM,4,cbow,1,100000,1.0,auto,,0,0.0,0,0,0.0,0.6876790830945558,76.3431339263916,2024-11-21 15:17:15
RbfSVM,5,cbow,1,100000,100.0,scale,,0,0.0,0,0,0.0,0.7211079274116523,61.54057693481445,2024-11-21 15:18:26
RbfSVM,6,cbow,1,100000,100.0,auto,,0,0.0,0,0,0.0,0.7382999044890163,40.04353165626526,2024-11-21 15:19:22
RbfSVM,7,tfidf,1,100000,0.01,scale,,0,0.0,0,0,0.0,0.3705826170009551,88.35281038284302,2024-11-21 15:21:10
RbfSVM,8,tfidf,1,100000,0.01,auto,,0,0.0,0,0,0.0,0.3705826170009551,65.18354320526123,2024-11-21 15:22:29
RbfSVM,9,tfidf,1,100000,1.0,scale,,0,0.0,0,0,0.0,0.7621776504297995,73.36122298240662,2024-11-21 15:23:58
RbfSVM,10,tfidf,1,100000,1.0,auto,,0,0.0,0,0,0.0,0.3705826170009551,63.13743495941162,2024-11-21 15:25:16
RbfSVM,11,tfidf,1,100000,100.0,scale,,0,0.0,0,0,0.0,0.7526265520534862,132.95980858802795,2024-11-21 15:27:44
