model,task_no,vectorizer,ngram,max_iter,C,gamma,tree_param,n_estimator,lrate,batch_size,num_epoch,weight_decay,test_accuracy,wall_time,run_time
RbfSVM,1,cbow,1,100000,0.01,scale,,0,0,0,0,0,0.37058261700095513,56.11575245857239,2024-11-21 15:13:32
RbfSVM,2,cbow,1,100000,0.01,auto,,0,0,0,0,0,0.37058261700095513,55.19512891769409,2024-11-21 15:14:42
RbfSVM,3,cbow,1,100000,1,scale,,0,0,0,0,0,0.7459407831900668,45.1310875415802,2024-11-21 15:15:39
RbfSVM,4,cbow,1,100000,1,auto,,0,0,0,0,0,0.6876790830945558,76.3431339263916,2024-11-21 15:17:15
RbfSVM,5,cbow,1,100000,100,scale,,0,0,0,0,0,0.7211079274116523,61.54057693481445,2024-11-21 15:18:26
RbfSVM,6,cbow,1,100000,100,auto,,0,0,0,0,0,0.7382999044890163,40.04353165626526,2024-11-21 15:19:22
RbfSVM,7,tfidf,1,100000,0.01,scale,,0,0,0,0,0,0.37058261700095513,88.35281038284302,2024-11-21 15:21:10
RbfSVM,8,tfidf,1,100000,0.01,auto,,0,0,0,0,0,0.37058261700095513,65.18354320526123,2024-11-21 15:22:29
RbfSVM,9,tfidf,1,100000,1,scale,,0,0,0,0,0,0.7621776504297995,73.36122298240662,2024-11-21 15:23:58
RbfSVM,10,tfidf,1,100000,1,auto,,0,0,0,0,0,0.37058261700095513,63.13743495941162,2024-11-21 15:25:16
RbfSVM,11,tfidf,1,100000,100,scale,,0,0,0,0,0,0.7526265520534862,132.95980858802795,2024-11-21 15:27:44
RbfSVM,12,tfidf,1,100000,100,auto,,0,0,0,0,0,0.6294173829990449,57.93350005149841,2024-11-21 15:28:57
RbfSVM,13,cbow,2,100000,0.01,scale,,0,0,0,0,0,0.37058261700095513,113.54430890083313,2024-11-21 15:31:20
RbfSVM,14,cbow,2,100000,0.01,auto,,0,0,0,0,0,0.37058261700095513,150.07031440734863,2024-11-21 15:34:45
